id,price,room_type,minimum_nights,,,,,,,,,
1494828,142,Entire home/apt,30,,,,,,,,,
1494986,171,Entire home/apt,3,,,,,,,,,
1531351,94,Entire home/apt,30,,,,,,,,,
1531458,116,Entire home/apt,30,,,,,,,,,
1696194,230,Entire home/apt,30,,,,,,,,,
1696389,300,Entire home/apt,30,,,,,,,,,
1716901,127,Entire home/apt,3,,,,,,,,,
1732441,90,Entire home/apt,2,,,,,,,,,
1556170,79,Entire home/apt,30,,,,,,,,,
1737244,71,Private room,30,,,,,,,,,
1562643,260,Entire home/apt,3,,,,,,,,,
1764100,125,Entire home/apt,30,,,,,,,,,
1579615,121,Entire home/apt,3,,,,,,,,,
1773803,92,Entire home/apt,30,,,,,,,,,
1588658,229,Entire home/apt,2,,,,,,,,,
1775016,89,Private room,1,,,,,,,,,
1802663,116,Entire home/apt,2,,,,,,,,,
1588941,93,Private room,1,,,,,,,,,
1807936,60,Private room,30,,,,,,,,,
1589681,80,Entire home/apt,1,,,,,,,,,
1820794,150,Entire home/apt,2,,,,,,,,,
1593991,150,Private room,30,,,,,,,,,
1594219,999,Private room,59,,,,,,,,,
1594313,999,Private room,59,,,,,,,,,
1603124,108,Entire home/apt,1,,,,,,,,,
1851863,82,Entire home/apt,30,,,,,,,,,
1629525,44,Private room,30,,,,,,,,,
1900698,35,Private room,30,,,,,,,,,
2950213,224,Entire home/apt,3,,,,,,,,,
2970666,195,Entire home/apt,30,,,,,,,,,
1905473,75,Private room,30,,,,,,,,,
1909058,100,Private room,3,,,,,,,,,
2976798,65,Private room,2,,,,,,,,,
2989758,167,Entire home/apt,2,,,,,,,,,
1925661,45,Private room,30,,,,,,,,,
2995996,459,Entire home/apt,3,,,,,,,,,
3022308,105,Entire home/apt,30,,,,,,,,,
1928010,89,Private room,1,,,,,,,,,
3022564,95,Entire home/apt,1,,,,,,,,,
1935439,30,Private room,31,,,,,,,,,
1976382,200,Entire home/apt,30,,,,,,,,,
3053269,589,Entire home/apt,1,,,,,,,,,
1983713,106,Entire home/apt,15,,,,,,,,,
3061918,75,Private room,30,,,,,,,,,
1984692,360,Entire home/apt,2,,,,,,,,,
3121829,104,Entire home/apt,3,,,,,,,,,
2026794,66,Private room,30,,,,,,,,,
2033191,180,Entire home/apt,3,,,,,,,,,
3124961,239,Entire home/apt,30,,,,,,,,,
3158243,129,Entire home/apt,2,,,,,,,,,
2037250,107,Private room,3,,,,,,,,,
3173186,150,Entire home/apt,6,,,,,,,,,
2069917,79,Entire home/apt,3,,,,,,,,,
2112625,74,Private room,30,,,,,,,,,
3254956,104,Entire home/apt,30,,,,,,,,,
3263071,120,Entire home/apt,30,,,,,,,,,
2150760,137,Entire home/apt,2,,,,,,,,,
3269390,151,Entire home/apt,3,,,,,,,,,
3273014,112,Entire home/apt,30,,,,,,,,,
2187563,324,Entire home/apt,3,,,,,,,,,
3273240,252,Entire home/apt,2,,,,,,,,,
3303376,93,Private room,2,,,,,,,,,
3303857,109,Entire home/apt,30,,,,,,,,,
2197168,146,Entire home/apt,30,,,,,,,,,
3308979,737,Entire home/apt,4,,,,,,,,,
2234730,105,Entire home/apt,2,,,,,,,,,
2267862,115,Entire home/apt,30,,,,,,,,,
3312406,240,Entire home/apt,2,,,,,,,,,
2297917,100,Entire home/apt,2,,,,,,,,,
