neighborhood_id,listing_id
150977876,580365544480383000
150970845,5164039
150977876,33448826
0,6606
0,9419
150970845,9531
150970845,9534
0,9596
150970845,9909
150940157,25002
0,677266
150940157,30712
231658837,68508
150970845,107884
150977876,677365
0,116221
2374422052,681866
0,689309
0,119103
0,132120
0,703058
0,132160
150946182,704764
150939846,151545
231658837,706385
150946182,170273
231658837,708774
0,202251
2374422052,723723
0,210316
150972830,723846
0,748526
0,219532
150946182,757840
150936037,226536
2404270129,789229
150975261,226677
150946182,241016
150946182,241032
0,254340
150975261,793629
150940157,260613
150959549,841274
150946182,278830
2404270129,844939
2404270129,284087
231658837,303277
0,846763
150939846,338091
2374422052,877203
2374422052,879181
150939846,340738
150977876,902609
150940157,904057
150970845,353110
0,942490
150939846,356248
2404270129,356608
2404270129,365550
150939846,948077
0,368403
150970845,1000883
150939846,1012003
0,370361
150939846,387078
150972830,1022135
150940157,1023693
150975261,392140
150939846,1042022
150975261,392779
0,421168
150970845,1048798
150939846,1090449
0,430610
150959549,1097520
0,1100686
150946182,1112092
0,1114695
0,447523
150939846,1122236
150940157,461234
150938688,475361
977967666,1125133
0,1146966
0,490076
150959549,491958
977967666,1150519
0,493591
150946182,544433
2404270129,1157083
2404270129,1159111
150939846,552325
150959549,564220
2374422052,1171574
2374422052,565703
150940157,1175308
150938688,1190224
0,566435
0,573942
150938688,1190571
150970845,598023
2404270129,604600
150972830,1219691
2404270129,607788
0,609252
0,1256892
150959549,609610
0,609701
150936037,1260259
977967666,1265651
0,611509
2374422052,1273432
0,620518
2374422052,1299597
2404270129,631445
150940157,1301535
977967666,635878
0,637710
2374422052,1351716
150939846,1355094
150939846,1356339
977967666,1365882
2404270129,654734
2374422052,661708
150940157,1407502
977967666,1647216
977967666,1417880
2404270129,1684236
2374422052,1439237
150946182,1686930
150959549,1455269
977967666,1484595
150936037,1696015
150940157,1488166
0,1493349
231658837,1494828
150946182,1494986
977967666,1531351
977967666,1531458
150936037,1696194
150946182,1696389
150939846,1716901
150977876,1732441
150975261,1556170
0,1737244
150939846,1562643
977967666,1764100
150940157,1579615
977967666,1773803
977967666,1588658
150939846,1775016
0,1802663
150940157,1588941
150972830,1807936
150940157,1589681
150946182,1820794
0,1593991
0,1594219
0,1594313
977967666,1603124
0,1851863
150975261,1629525
150959549,1900698
150940157,2950213
150939846,2970666
2374422052,1905473
150946182,1909058
0,2976798
0,2989758
150975261,1925661
2374422052,2995996
977967666,3022308
150939846,1928010
150959549,3022564
0,1935439
150939846,1976382
150940157,3053269
2374422052,1983713
150970845,3061918
0,1984692
150940157,3121829
0,2026794
0,2033191
150970845,3124961
977967666,3158243
0,2037250
2404270129,3173186
150975261,2069917
2374422052,2112625
0,3254956
977967666,3263071
6152786240,2150760
150946182,3269390
977967666,3273014
0,2187563
2404270129,3273240
0,3303376
977967666,3303857
150975261,2197168
150946182,3308979
977967666,2234730
150940157,2267862
0,3312406
0,2297917
231658837,3379116
150972830,2298775
977967666,2358140
0,2391699
2404270129,3385421
150940157,2396734
150977876,3405896
150939846,3426639
150940157,2441908
2404270129,3441450
0,2446384
2404270129,3441487
2374422052,3463245
150939846,2459519
150959549,2471659
150970845,3505739
0,3505829
150940157,3510818
0,2474569
0,3535171
150975261,2486612
0,3543247
150970845,2522091
0,3594959
150970845,2536507
150946182,3652078
2404270129,3659621
0,2578855
150959549,3673011
150959549,2586350
150951309,2586642
2374422052,2612399
150940157,3678718
150940157,3689119
2374422052,2614238
977967666,3706719
0,2614387
0,2630912
0,3739681
150970845,2638086
0,3766055
0,2642359
150940157,3772674
150970845,2652941
150975261,3773845
150939846,2670365
150970845,3818746
150940157,2686374
0,3821822
150946182,2692126
150940157,3835995
2404270129,2693672
0,2693700
150940157,3861673
0,2710274
150959549,2721575
0,3898413
0,2727808
2404270129,3906076
0,2731253
150940157,3908378
0,2760312
150939846,3926008
2374422052,3953611
0,3959460
150977876,2809796
2404270129,3992155
0,4025954
0,4026757
2374422052,2830174
150970845,4030640
0,4046863
2374422052,4053972
977967666,2847177
150970845,4069543
150946182,2874608
150939846,2882641
0,4100009
0,4113197
150946182,2923529
150939846,4129218
977967666,2931922
2404270129,2935486
2404270129,4137114
977967666,4165554
977967666,2948548
2374422052,4170863
0,4287974
150946182,4324917
0,4340838
0,4204939
2374422052,4364624
150959549,4400811
150939846,4211081
0,4409731
150946182,4211629
150940157,4236723
150940157,4429898
150946182,4250367
977967666,4270642
2374422052,4432489
0,4276672
0,4279578
2374422052,4286182
977967666,5989276
2404270129,4439293
150970845,5991734
2404270129,4440686
150972830,4464110
150970845,6002165
150939846,6020821
977967666,4484426
0,4521755
150939846,6032726
0,6053606
0,4550199
150970845,6079581
0,6087451
150959549,6117473
150946182,4588514
2374422052,6133354
150936037,4608208
150940157,6153532
0,6166307
150940157,4616634
6152786240,6168975
0,4629020
2404270129,6187841
0,4653552
0,6202214
0,6202985
150970845,4681687
150939846,6214517
0,6222790
0,4693488
150940157,6245498
150946182,6248083
150959549,4711069
2404270129,6263270
150939846,6288101
150939846,4725935
0,4738971
0,6304139
0,6327662
2404270129,4752817
150939846,6358529
2374422052,4760472
0,6365330
150975261,4760968
150940157,4825472
2374422052,6376139
0,4871348
2374422052,6423488
0,4879013
0,6438518
150970845,4881141
0,6445769
2374422052,6451305
2374422052,4892357
0,6490453
150938688,4956314
150946182,4973204
0,6492880
150938688,6603376
0,4993710
0,6621924
0,5022572
150939846,6644760
2404270129,5031285
0,6657574
2404270129,5031383
150946182,5052459
0,6660186
150946182,5058086
150936037,6678058
150939846,5067177
2374422052,5084451
